Hour,BRONX,BROOKLYN,MANHATTAN,QUEENS,STATEN ISLAND,Total_Accidents
12 AM,5751,12139,8772,9931,1278,37871
1 AM,917,1791,1735,1452,162,6057
2 AM,699,1308,1213,1163,143,4526
3 AM,620,1157,1065,1074,114,4030
4 AM,731,1281,1017,1428,120,4577
5 AM,862,1420,975,1582,141,4980
6 AM,1401,2373,1620,2617,275,8286
7 AM,2417,3814,2182,3808,437,12658
8 AM,3986,7181,3942,7143,871,23123
9 AM,3676,7076,4684,6006,810,22252
10 AM,3111,6836,4730,5522,793,20992
11 AM,3303,7208,5018,5806,796,22131
1 PM,3733,8063,5391,6728,1015,24930
2 PM,4390,9470,5961,8021,1238,29080
3 PM,4308,8940,5354,7458,1067,27127
4 PM,4850,9856,5830,8252,1407,30195
5 PM,4550,9595,5483,8698,1266,29592
6 PM,3882,8244,4935,7403,1088,25552
7 PM,3107,6441,4308,5962,764,20582
8 PM,2504,5338,3614,4704,623,16783
9 PM,2094,4620,3197,3972,498,14381
10 PM,1786,3948,3067,3430,409,12640
11 PM,1468,3078,2622,2601,318,10087
