borough,weekday,Yr2017,Yr2018,Yr2019,Grand Total
BRONX,Sunday,2517,2469,2207,7193
BRONX,Monday,3108,3402,2872,9382
BRONX,Tuesday,3130,3497,2887,9514
BRONX,Wednesday,3052,3407,2874,9333
BRONX,Thursday,3271,3469,2935,9675
BRONX,Friday,3416,3756,3227,10399
BRONX,Saturday,2904,3054,2692,8650
BROOKLYN,Sunday,5449,5512,4544,15505
BROOKLYN,Monday,6679,7174,5548,19401
BROOKLYN,Tuesday,6707,7087,5754,19548
BROOKLYN,Wednesday,6524,6870,5767,19161
BROOKLYN,Thursday,6738,7263,5990,19991
BROOKLYN,Friday,7073,7445,6302,20820
BROOKLYN,Saturday,5740,5958,5053,16751
MANHATTAN,Sunday,3647,3432,2630,9709
MANHATTAN,Monday,4182,4228,3089,11499
MANHATTAN,Tuesday,4631,4677,3532,12840
MANHATTAN,Wednesday,4830,4621,3593,13044
MANHATTAN,Thursday,4990,4990,3769,13749
MANHATTAN,Friday,5231,5264,3838,14333
MANHATTAN,Saturday,4255,4197,3089,11541
QUEENS,Sunday,4673,4913,4079,13665
QUEENS,Monday,5631,6198,5088,16917
QUEENS,Tuesday,5513,6066,5111,16690
QUEENS,Wednesday,5621,6031,5167,16819
QUEENS,Thursday,5767,6204,5090,17061
QUEENS,Friday,6172,6220,5492,17884
QUEENS,Saturday,5205,5605,4915,15725
STATEN ISLAND,Sunday,676,627,339,1642
STATEN ISLAND,Monday,879,889,459,2227
STATEN ISLAND,Tuesday,916,898,490,2304
STATEN ISLAND,Wednesday,999,972,497,2468
STATEN ISLAND,Thursday,958,981,465,2404
STATEN ISLAND,Friday,977,976,495,2448
STATEN ISLAND,Saturday,836,826,478,2140
